"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"02/09/2022";"1500";"15,6";"15,6";"15,0";"80,0";"82,0";"79,0";"12,2";"12,3";"11,8";"1015,2";"1015,3";"1014,4";"4,8";"229,0";"10,3";"561,50";"0,0"
"02/09/2022";"1600";"15,1";"16,0";"15,1";"81,0";"82,0";"78,0";"11,9";"12,5";"11,8";"1015,3";"1015,5";"1015,2";"4,3";"227,0";"8,9";"707,70";"0,0"
"02/09/2022";"1700";"14,4";"15,3";"14,1";"83,0";"85,0";"80,0";"11,6";"12,2";"11,4";"1015,8";"1015,8";"1015,3";"5,2";"216,0";"9,0";"281,20";"0,0"
"02/09/2022";"1800";"14,0";"16,2";"13,8";"76,0";"83,0";"75,0";"9,8";"12,3";"9,7";"1016,0";"1016,0";"1015,7";"4,6";"195,0";"9,0";"806,90";"0,0"
"02/09/2022";"1900";"13,9";"14,8";"13,8";"73,0";"77,0";"72,0";"9,1";"10,4";"9,1";"1016,9";"1016,9";"1016,0";"5,5";"199,0";"10,1";"889,90";"0,0"
"02/09/2022";"2000";"13,2";"14,1";"13,1";"73,0";"75,0";"70,0";"8,3";"9,6";"8,0";"1017,9";"1017,9";"1016,9";"5,5";"196,0";"10,5";"831,50";"0,0"
"02/09/2022";"2100";"11,8";"13,3";"11,8";"78,0";"78,0";"73,0";"8,1";"8,6";"8,1";"1019,0";"1019,0";"1017,9";"4,5";"199,0";"11,1";"337,90";"0,0"
"02/09/2022";"2200";"11,0";"11,8";"11,0";"80,0";"81,0";"78,0";"7,6";"8,1";"7,6";"1020,0";"1020,0";"1019,0";"4,5";"206,0";"8,1";"6,90";"0,0"
"02/09/2022";"2300";"10,1";"11,0";"10,1";"81,0";"81,0";"79,0";"7,0";"7,6";"7,0";"1020,6";"1020,6";"1020,0";"3,4";"215,0";"8,1";"";"0,0"
"03/09/2022";"0000";"9,7";"10,2";"9,7";"82,0";"82,0";"80,0";"6,7";"7,1";"6,7";"1021,5";"1021,5";"1020,6";"3,7";"212,0";"7,6";"";"0,0"
"03/09/2022";"0100";"9,6";"9,7";"9,1";"84,0";"86,0";"82,0";"7,0";"7,0";"6,6";"1022,0";"1022,0";"1021,5";"3,7";"217,0";"6,4";"";"0,0"
"03/09/2022";"0200";"10,1";"10,1";"9,7";"76,0";"84,0";"75,0";"6,0";"7,0";"5,9";"1022,4";"1022,5";"1022,0";"5,8";"213,0";"9,8";"";"0,0"
"03/09/2022";"0300";"10,1";"10,1";"10,0";"73,0";"76,0";"73,0";"5,5";"6,1";"5,5";"1022,4";"1022,4";"1022,2";"5,7";"216,0";"10,9";"";"0,0"
"03/09/2022";"0400";"10,1";"10,2";"10,1";"74,0";"74,0";"71,0";"5,6";"5,8";"5,3";"1022,7";"1022,8";"1022,4";"4,7";"217,0";"10,1";"";"0,0"
"03/09/2022";"0500";"10,0";"10,2";"10,0";"71,0";"75,0";"68,0";"5,0";"5,9";"4,5";"1023,0";"1023,0";"1022,7";"4,9";"220,0";"10,1";"";"0,0"
"03/09/2022";"0600";"9,2";"10,0";"9,2";"74,0";"74,0";"69,0";"4,7";"5,2";"4,2";"1023,2";"1023,2";"1023,0";"4,2";"220,0";"9,6";"0,10";"0,0"
"03/09/2022";"0700";"8,1";"9,2";"8,1";"74,0";"74,0";"69,0";"3,8";"4,7";"3,5";"1023,2";"1023,2";"1023,1";"2,9";"248,0";"8,0";"";"0,0"
"03/09/2022";"0800";"8,0";"8,1";"7,3";"77,0";"77,0";"74,0";"4,2";"4,2";"3,5";"1023,4";"1023,4";"1023,2";"2,3";"266,0";"6,5";"";"0,0"
"03/09/2022";"0900";"8,4";"8,5";"8,0";"80,0";"80,0";"77,0";"5,2";"5,2";"4,2";"1023,8";"1023,8";"1023,3";"3,0";"246,0";"6,1";"";"0,0"
"03/09/2022";"1000";"8,4";"8,8";"8,4";"81,0";"81,0";"76,0";"5,2";"5,2";"4,7";"1024,6";"1024,6";"1023,8";"3,2";"250,0";"6,8";"4,40";"0,0"
"03/09/2022";"1100";"8,9";"8,9";"8,3";"80,0";"82,0";"80,0";"5,7";"5,9";"5,2";"1025,2";"1025,2";"1024,6";"3,8";"250,0";"8,8";"220,10";"0,0"
"03/09/2022";"1200";"10,4";"10,4";"8,8";"76,0";"81,0";"76,0";"6,3";"6,4";"5,5";"1025,5";"1025,5";"1025,2";"4,9";"242,0";"9,3";"1122,30";"0,0"
"03/09/2022";"1300";"11,1";"11,7";"10,4";"73,0";"76,0";"72,0";"6,4";"7,1";"6,1";"1025,9";"1026,0";"1025,5";"4,8";"238,0";"11,0";"1751,90";"0,0"
"03/09/2022";"1400";"12,5";"13,1";"11,1";"70,0";"74,0";"69,0";"7,1";"8,0";"6,4";"1025,9";"1026,0";"1025,8";"4,6";"226,0";"10,0";"2023,80";"0,0"
"03/09/2022";"1500";"13,6";"14,7";"12,0";"56,0";"71,0";"54,0";"5,0";"7,8";"4,5";"1025,9";"1026,0";"1025,9";"6,4";"210,0";"10,3";"2403,50";"0,0"
"03/09/2022";"1600";"14,5";"15,2";"13,6";"52,0";"57,0";"48,0";"4,8";"5,8";"3,8";"1025,5";"1026,0";"1025,5";"6,1";"199,0";"11,2";"2843,50";"0,0"
"03/09/2022";"1700";"15,3";"15,3";"14,2";"53,0";"55,0";"44,0";"5,7";"6,0";"2,7";"1025,1";"1025,5";"1025,1";"5,0";"193,0";"10,7";"2694,90";"0,0"
"03/09/2022";"1800";"14,3";"15,2";"14,0";"57,0";"58,0";"51,0";"5,7";"6,2";"4,9";"1025,1";"1025,2";"1024,9";"4,2";"185,0";"9,3";"2344,50";"0,0"
